case_id,case,topology,seed,method_key,method,run_name,tag,status,rel_error,contract_time_sec,emit_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,rank_policy,leaf_tol,merge_tol,target_rank,max_rank,mean_rank,peak_rank,num_implicit_merge_sketches,num_exact_merges,num_compressed_merges,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,num_blocks,mean_merge_residual_ratio,block_enabled,block_labels,chunk_size,level_id,leaf_tol_nominal,merge_tol_nominal,setting_id,cache_enabled_requested,run_dir
main_ring_8,Ring-8,ring,0,exact,exact,main_ring_8__exact__s0,core,ok,0.0,3.614419800000178,6.67000022076536e-05,3.6144865000023856,0.48341937367875837,0.9999815464788131,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__exact__s0\2026-04-14_16-32-42
main_ring_8,Ring-8,ring,1,exact,exact,main_ring_8__exact__s1,core,ok,0.0,3.379203899996355,6.500000017695129e-05,3.379268899996532,0.5261902359965741,0.9999807650698714,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__exact__s1\2026-04-14_16-32-49
main_ring_8,Ring-8,ring,2,exact,exact,main_ring_8__exact__s2,core,ok,0.0,3.0566521999971883,5.8599995099939406e-05,3.0567107999922882,0.5955830692298321,0.9999808290676042,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__exact__s2\2026-04-14_16-32-54
main_ring_8,Ring-8,ring,0,fixed_rank,fixed-rank,main_ring_8__fixed_rank__s0,core,ok,0.8075321602784388,0.02784839999731048,4.1400009649805725e-05,0.027889800006960286,84.7154766024139,0.998515585961965,fixed,0.0,0.0,4,4,1.0,9.0,27.0,27.0,36.0,True,135.0,60.0,75.0,0.4444444444444444,75.0,9.0,0.0,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__fixed_rank__s0\2026-04-14_16-33-00
main_ring_8,Ring-8,ring,1,fixed_rank,fixed-rank,main_ring_8__fixed_rank__s1,core,ok,0.7771009286121126,0.026530899991485057,3.879999712808058e-05,0.026569699988613138,83.9630142931869,0.9985396900174542,fixed,0.0,0.0,4,4,1.0,9.0,27.0,27.0,36.0,True,135.0,60.0,75.0,0.4444444444444444,75.0,9.0,0.0,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__fixed_rank__s1\2026-04-14_16-33-03
main_ring_8,Ring-8,ring,2,fixed_rank,fixed-rank,main_ring_8__fixed_rank__s2,core,ok,0.832633229777223,0.03466380000099889,5.2600000344682485e-05,0.03471640000134357,70.14101980144798,0.9984848659036901,fixed,0.0,0.0,4,4,1.0,9.0,27.0,27.0,36.0,True,135.0,60.0,75.0,0.4444444444444444,75.0,9.0,0.0,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__fixed_rank__s2\2026-04-14_16-33-06
main_ring_8,Ring-8,ring,0,astnc_l1,ASTNC-L1,main_ring_8__astnc_l1__s0,core,ok,4.273663529339475e-15,0.10837180000089575,5.2400006097741425e-05,0.10842420000699349,22.6122913503112,0.9995167129930967,adaptive,0.0005,0.002,2,16,1.0,16.0,0.0,27.0,36.0,True,135.0,60.0,75.0,0.4444444444444444,75.0,9.0,2.6375446901360654e-09,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__astnc_l1__s0\2026-04-14_16-33-10
main_ring_8,Ring-8,ring,1,astnc_l1,ASTNC-L1,main_ring_8__astnc_l1__s1,core,ok,4.3440744297741834e-15,0.09889709999697516,4.1200000850949436e-05,0.0989382999978261,20.302518842743723,0.9995835788380087,adaptive,0.0005,0.002,2,16,1.0,16.0,0.0,27.0,36.0,True,135.0,60.0,75.0,0.4444444444444444,75.0,9.0,1.636910297962205e-09,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__astnc_l1__s1\2026-04-14_16-33-13
main_ring_8,Ring-8,ring,2,astnc_l1,ASTNC-L1,main_ring_8__astnc_l1__s2,core,ok,4.74811385642094e-15,0.07986020000680583,3.849999848171137e-05,0.07989870000528754,21.96874542217312,0.9995181398511028,adaptive,0.0005,0.002,2,16,1.0,16.0,0.0,27.0,36.0,True,135.0,60.0,75.0,0.4444444444444444,75.0,9.0,1.5646647676976439e-09,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__astnc_l1__s2\2026-04-14_16-33-16
main_ring_8,Ring-8,ring,0,astnc_l2,ASTNC-L2,main_ring_8__astnc_l2__s0,core,ok,4.273663529339475e-15,0.0804056999986642,3.949999518226832e-05,0.08044519999384647,21.824972777777102,0.999508982559745,adaptive,0.001,0.005,2,16,1.0,16.0,0.0,27.0,36.0,True,135.0,60.0,75.0,0.4444444444444444,75.0,9.0,2.6375446901360654e-09,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\main_ring_8__astnc_l2__s0\2026-04-14_16-33-19
