analysis,case_id,case,family,size_token,seed,method_key,method,status,rel_error,contract_time_sec,emit_time_sec,total_time_sec,exact_total_time_sec,speedup_vs_exact,t_contract_ratio,peak_rank,num_implicit_merge_sketches,cache_hit_rate,num_cached_states,mean_merge_residual_ratio,mean_leaf_residual_ratio,leaf_tol,merge_tol,rank_policy,target_rank,max_rank,cache_enabled,block_enabled,block_labels,chunk_size,run_name,run_dir,error_message
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,0,astnc_l2,ASTNC-L2,ok,2.7011489363047325e-15,0.05221419999816135,4.2499998926359694e-05,0.05225669999708771,0.03176840000287484,0.6079297009577218,0.9991867071604614,16.0,0.0,0.4367816091954023,49.0,8.937259510572102e-10,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,grid2d_2x3__astnc_l2__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__astnc_l2__s0\2026-04-14_12-09-22,
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,1,astnc_l2,ASTNC-L2,ok,2.5535159590352855e-15,0.016604000001279928,2.3300000066228677e-05,0.016627300001346157,0.016213100002460124,0.9750891606077001,0.9985986900421031,16.0,0.0,0.4367816091954023,49.0,2.392944913787237e-09,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,grid2d_2x3__astnc_l2__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__astnc_l2__s1\2026-04-14_12-09-28,
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,2,astnc_l2,ASTNC-L2,ok,2.736335153996921e-15,0.015088700000887911,2.0799999219889287e-05,0.0151095000001078,0.016180700001314108,1.0708957940453203,0.9986233826256088,16.0,0.0,0.4367816091954023,49.0,2.5302385518190315e-09,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,grid2d_2x3__astnc_l2__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__astnc_l2__s2\2026-04-14_12-09-29,
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,0,exact,exact,ok,,0.017057600000953244,2.2999998691375367e-05,0.01708059999964462,,,0.998653443105599,,,,,,,,,,,,,true,2,1,grid2d_2x3__exact__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__exact__s0\2026-04-14_12-09-30,
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,1,exact,exact,ok,,0.016460499999084277,2.109999786625849e-05,0.016481599996950536,,,0.9987197845555722,,,,,,,,,,,,,true,2,1,grid2d_2x3__exact__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__exact__s1\2026-04-14_12-09-31,
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,2,exact,exact,ok,,0.017785400000320806,2.3299999156733975e-05,0.01780869999947754,,,0.9986916507012804,,,,,,,,,,,,,true,2,1,grid2d_2x3__exact__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__exact__s2\2026-04-14_12-09-32,
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,0,fixed_rank,fixed-rank,ok,0.5850866505215644,0.012774600000739156,2.150000091205584e-05,0.012796100001651212,0.014652899999418878,1.1451067119187062,0.9983198004151577,9.0,9.0,0.4367816091954023,49.0,0.0,0.0,0.0,0.0,fixed,4,4.0,True,true,2,1,grid2d_2x3__fixed_rank__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__fixed_rank__s0\2026-04-14_12-09-32,
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,1,fixed_rank,fixed-rank,ok,0.6373433354656992,0.012683299998570874,2.1000001652282663e-05,0.012704300000223157,0.014914900002622744,1.1740040774530476,0.9983470161559266,9.0,9.0,0.4367816091954023,49.0,0.0,0.0,0.0,0.0,fixed,4,4.0,True,true,2,1,grid2d_2x3__fixed_rank__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__fixed_rank__s1\2026-04-14_12-09-33,
scale_trend,grid2d_2x3,Grid 2x3,grid2d,2x3,2,fixed_rank,fixed-rank,ok,0.7369432085938215,0.013612799999464187,1.9299998712085653e-05,0.013632099998176272,0.014243099998566322,1.044820680557432,0.998584224021739,9.0,9.0,0.4367816091954023,49.0,0.0,0.0,0.0,0.0,fixed,4,4.0,True,true,2,1,grid2d_2x3__fixed_rank__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_2x3__fixed_rank__s2\2026-04-14_12-09-34,
mechanism_internal,grid2d_3x3,Grid 3x3,grid2d,3x3,0,astnc_l2,ASTNC-L2,ok,0.004461158998039425,0.7192390999989584,0.00020450000010896474,0.7194435999990674,45.482191000002786,63.21856362333132,0.9997157525605774,64.0,13.0,0.4397163120567376,79.0,0.00047029104248323943,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,grid2d_3x3__astnc_l2__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\grid2d_3x3__astnc_l2__s0\2026-04-14_12-09-35,
