case_id,topology,size_description,scale_level,method,n_attempted,n_ok,n_timeout,n_failed,completed_fraction,timeout_rate,status_summary,rel_error_mean,rel_error_std,RMSE_mean,RMSE_std,NMSE_mean,NMSE_std,NMSE_dB_mean,NMSE_dB_std,contract_time_sec_mean,contract_time_sec_std,emit_time_sec_mean,emit_time_sec_std,total_time_sec_mean,total_time_sec_std,t_contract_ratio_mean,t_contract_ratio_std,speedup_vs_exact_mean,speedup_vs_exact_std,num_blocks_mean,num_blocks_std,mean_rank_mean,mean_rank_std,max_rank_mean,max_rank_std,peak_rank_mean,peak_rank_std,num_exact_merges_mean,num_exact_merges_std,num_compressed_merges_mean,num_compressed_merges_std,mean_merge_residual_ratio_mean,mean_merge_residual_ratio_std,num_implicit_merge_sketches_mean,num_implicit_merge_sketches_std,cache_hit_rate_mean,cache_hit_rate_std,relative_runtime_rank_within_case_mean,relative_runtime_rank_within_case_std,relative_error_rank_within_case_mean,relative_error_rank_within_case_std,exact_available,case_completed_fraction,case_timeout_rate,case_difficulty_proxy
boundary_grid2d_4x4,grid2d,"grid_shape=[4,4], num_nodes=16, phys_dim=3, bond_dim=4, open_legs_per_node=1",boundary,exact,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_grid2d_4x4,grid2d,"grid_shape=[4,4], num_nodes=16, phys_dim=3, bond_dim=4, open_legs_per_node=1",boundary,ASTNC-L1,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_grid2d_4x4,grid2d,"grid_shape=[4,4], num_nodes=16, phys_dim=3, bond_dim=4, open_legs_per_node=1",boundary,ASTNC-L2,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_grid2d_4x4,grid2d,"grid_shape=[4,4], num_nodes=16, phys_dim=3, bond_dim=4, open_legs_per_node=1",boundary,ASTNC-L3,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_random_12,random_connected,"num_nodes=12, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",boundary,exact,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_random_12,random_connected,"num_nodes=12, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",boundary,ASTNC-L1,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_random_12,random_connected,"num_nodes=12, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",boundary,ASTNC-L2,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_random_12,random_connected,"num_nodes=12, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",boundary,ASTNC-L3,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_ring_12,ring,"num_nodes=12, phys_dim=3, bond_dim=4, open_legs_per_node=1",boundary,exact,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_ring_12,ring,"num_nodes=12, phys_dim=3, bond_dim=4, open_legs_per_node=1",boundary,ASTNC-L1,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_ring_12,ring,"num_nodes=12, phys_dim=3, bond_dim=4, open_legs_per_node=1",boundary,ASTNC-L2,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
boundary_ring_12,ring,"num_nodes=12, phys_dim=3, bond_dim=4, open_legs_per_node=1",boundary,ASTNC-L3,1,0,1,0,0.0,1.0,"ok=0/1, timeout=1, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,1.0,
main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,exact,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.0,0.0,0.0,0.0,0.0,0.0,,,0.985051100000419,0.05138096214351933,4.8066666446781405e-05,4.041454902808449e-07,0.9850991666668657,0.051381355703993846,0.999951130786988,2.1761860552054605e-06,0.9734550063932923,0.04866624481677123,9.0,0.0,,,,,,,,,,,,,,,,,5.0,0.0,,,True,1.0,0.0,0.9850991666668657
