case_id,tier,topology,size_description,seed,method,method_key,planned_method_group,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,num_blocks,refined_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,leaf_states_built,internal_states_built,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir
toy_chain_6,toy,chain,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.006376599999839527,8.89999955688836e-06,0.006385499999396416,0.8431446244829007,0.9986062171237434,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_chain_6__exact__s0\2026-04-10_20-46-19
toy_chain_6,toy,chain,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.0067518999996991624,8.300000217786874e-06,0.006760199999916949,0.8670453535975675,0.9987722254938225,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_chain_6__exact__s1\2026-04-10_20-46-20
toy_chain_6,toy,chain,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,1.2665828527483382e-15,1.9280837593129614e-18,1.6042321231395787e-30,-297.94732791597374,0.0044031999998424,7.200000027296483e-06,0.004410399999869696,1.1900054415580197,0.9983674947791862,4,0,1.0,4,8,16,4,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_chain_6__fixed_rank__s0\2026-04-10_20-46-21
toy_chain_6,toy,chain,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,6.309776825348086e-16,5.708298745832825e-19,3.981328359670186e-31,-303.999720025435,0.004877100000157952,8.000000207175617e-06,0.004885100000365128,1.1624327032042994,0.9983623669515588,4,0,1.0,4,8,16,4,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_chain_6__fixed_rank__s1\2026-04-10_20-46-22
toy_chain_6,toy,chain,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,3.1509531813508212e-15,4.7966081667182885e-18,9.928505952695403e-30,-290.0311609947217,0.0057266000001163775,6.999999868639861e-06,0.005733599999985017,0.8806508997863286,0.9987791264009631,4,0,1.0,16,3,8,12,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,12,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_chain_6__astnc_l2__s0\2026-04-10_20-46-23
toy_chain_6,toy,chain,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,1.2475893589724305e-15,1.1286631794213787e-18,1.5564792090513607e-30,-298.0785667610872,0.005855399999745714,6.799999937356915e-06,0.005862199999683071,0.8382006754704899,0.9988400257690688,4,0,1.0,16,3,8,12,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,12,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_chain_6__astnc_l2__s1\2026-04-10_20-46-24
toy_ring_6,toy,ring,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.007864500000096086,8.69999985297909e-06,0.007873199999949065,1.2828202000325621,0.9988949854122935,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_ring_6__exact__s0\2026-04-10_20-46-25
toy_ring_6,toy,ring,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.009735499999806052,9.899999895424116e-06,0.009745399999701476,1.2031419951030706,0.9989841360134307,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_ring_6__exact__s1\2026-04-10_20-46-26
toy_ring_6,toy,ring,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,1.0982112791285187e-15,4.194813662797009e-18,1.206068013684035e-30,-299.18628200375974,0.004436300000179472,7.100000402715523e-06,0.004443400000582187,1.9201062242567954,0.998402124184141,4,0,1.0,4,8,16,4,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_ring_6__fixed_rank__s0\2026-04-10_20-46-27
toy_ring_6,toy,ring,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,6.779878329396201e-16,9.727189000879707e-19,4.596675016942597e-31,-303.3755619960789,0.003942399999914414,6.600000006073969e-06,0.003948999999920488,2.2258040005717747,0.9983286905534221,4,0,1.0,4,8,16,4,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_ring_6__fixed_rank__s1\2026-04-10_20-46-27
